Sl.No.,Towers,,,,,,,,,,,ACCESS ROAD,,Soil Investigation,,Excavation,,Lean Concrete,,Stub Settings,,Concrete,,Backfilling,,Ground Erection,,Crane Erection,,Conductor ,,EW,,OPGW,,,,"ANGLE POINT
NO.","Line Angle
Degrees",Spans,,,,,,,CONDUCTOR,,,,,,,OPGW ,,,,EARTHWIRE,,,,,Warning Spheres,GROUNDING,,,,Towers,
,Construction No.,"Tower
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,1.0,85.0,85.0,400/51,,,,3,,,,,,,,,,,,,,,,,,
2,1,B90-3,,,,,301669.3,4683941.3,137.9,Active,,12/12/24,Completed,12/12/25,Completed,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,85.0,5.1,AP1,-13.00,,183,224,1.22,,,,,2T-2T,4,2,,1,1,95-T,1,1, ,95-T,1,1,2,0,,Step-1,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.29,,,,2.0,280.3,280.3,400/51,,,,6,,,,,,,,,,,,,,,,TRACK ,,
3,2,B30-3,,,,,301389.0,4683939.0,134.2,Active,,12/12/24,Completed,12/12/25,Completed,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,365.3,3,AP2,-23.62,,280,250,0.89,,,,,2T-2T,2,3,,1,1,95-T,1,1, ,95-T,1,1,2,0,,Step-1,,,,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.71,,,,3.0,291.5,581.7,400/51,,,,5,,,,,,,,,,,,,,,,,,
4,3,BNS+6,,,,,301133.7,4683824.8,129.4,Active,,12/12/24,Completed,12/12/25,Completed,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,645.0,3,, ,,291,353,1.21,,,,,SS,, ,,1,1,95-S,1,1, ,95-S,1,1,2,0,,Step-1,,,,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.01,,,,,,,400/51,,,,6,,,,,,,,,,,,,,,,TRACK,,
5,4,B60-3,,,,,300858.0,4683701.5,126.3,Active,,12/12/24,Completed,12/12/25,Completed,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,947.0,4.1,AP3,50.56,,302,234,0.77,,,,,2T-2T,1,3,,1,1,95-T,1,1, ,95-T,1,1,2,0,,Step-1,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.56,,,,4.0,322.4,641.8,400/51,,,,6,,,,,,,,,,,,,,,,ROAD,,
6,5,BNS+3,,,,,300587.2,4683836.3,127.4,,,12/12/24,Completed,12/12/25,Completed,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,1249.6,4.1,, ,,321,361,1.12,,,,,DS,, ,,1,1,95-S,1,1, ,95-S,1,1,2,0,,Step-1,,,,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.2,,,,,,,400/51,,,,7,,,,,,,,,,,,,,,,,,
7,6,B60+3,,,,,300283.5,4683987.5,123.8,,,12/12/24,Completed,12/12/25,Completed,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,1588.8,5.1,AP4,-51.93,,274,249,0.91,,,,,2T-2T,2,3,,1,1,95-T,1,1, ,95-T,1,1,2,0,,Step-1,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.33,,,,5.0,209.3,209.3,400/51,,,,4,,,,,,,,,,,,,,,,"ROAD, RAILWAY, MV OHDL",,
8,7,B90+9,,,,,300094.5,4683897.5,120.9,,,12/12/24,Completed,12/12/25,Completed,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,1798.1,3,AP5,67.63,,308,343,1.11,,,,,2T-2T,2,2,,1,1,95-T,1,1,JB,95-T,1,1,2,0,,Step-1,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.44,,,,6.0,407.4,407.4,400/51,,,,8,,,,,,,,,,,,,,,,"ROAD, MV OHDL",,
9,8,B30+3,,,,,299792.5,4684171.0,119.6,,,12/12/24,Completed,12/12/25,Completed,15/12/2025,Completed,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,,Not Yet,2205.5,5.1,AP6,-17.72,,398,378,0.95,,,,,2T-2T,2,3,,1,1,95-T,1,1, ,95-T,1,1,2,0,,Step-1,,,,,8
